指标,样本量,H,p_raw,epsilon_squared,p_adj_holm,显著性_raw,显著性_adj,是否显著,版本
肛门括约肌静息压(mmHg),1067,366.1199,3.148217147722744e-80,0.343452,3.1482171477227436e-79,***,***,True,M1_新公平_Attn_topk4
最大缩榨压MSP（mmHg）,1067,219.4666,2.2051448475431792e-48,0.205879,1.9846303627888612e-47,***,***,True,M1_新公平_Attn_topk4
肛门括约肌长度(cm),1067,103.3835,3.552785087910546e-23,0.096983,2.8422280703284367e-22,***,***,True,M1_新公平_Attn_topk4
缩肛持续时间(s),1067,7.378,0.024997130157015195,0.006921,0.09998852062806078,*,ns,False,M1_新公平_Attn_topk4
排便时直肠压力(mmHg),1067,38.2142,5.033725377075822e-09,0.035848,3.523607763953075e-08,***,***,True,M1_新公平_Attn_topk4
最大容量感觉阈值(ml),1052,10.805,0.004505384511956107,0.010281,0.022526922559780536,**,*,True,M1_新公平_Attn_topk4
初始感觉阈值(ml),1050,6.4737,0.03928727192529469,0.006171,0.11786181577588406,*,ns,False,M1_新公平_Attn_topk4
初始便意阈值(ml),1057,2.1423,0.3426183683881851,0.002029,0.6852367367763702,ns,ns,False,M1_新公平_Attn_topk4
排便窘迫感阈值(ml),1057,12.0894,0.0023703634611325977,0.011448,0.014222180766795586,**,*,True,M1_新公平_Attn_topk4
RAIR诱发最小容积(ml),1067,1.3551,0.5078603028182092,0.001271,0.6852367367763702,ns,ns,False,M1_新公平_Attn_topk4
