指标,对比,p_adj,显著性,版本,分析人群
肛门括约肌静息压(mmHg),0 vs 1,0.0,***,M1_新公平_Attn_topk4,all
肛门括约肌静息压(mmHg),0 vs 2,0.0,***,M1_新公平_Attn_topk4,all
肛门括约肌静息压(mmHg),1 vs 2,0.0,***,M1_新公平_Attn_topk4,all
最大缩榨压MSP（mmHg）,0 vs 1,0.0,***,M1_新公平_Attn_topk4,all
最大缩榨压MSP（mmHg）,0 vs 2,0.0,***,M1_新公平_Attn_topk4,all
最大缩榨压MSP（mmHg）,1 vs 2,0.0,***,M1_新公平_Attn_topk4,all
肛门括约肌长度(cm),0 vs 1,0.0,***,M1_新公平_Attn_topk4,all
肛门括约肌长度(cm),0 vs 2,0.001072,**,M1_新公平_Attn_topk4,all
肛门括约肌长度(cm),1 vs 2,0.0,***,M1_新公平_Attn_topk4,all
缩肛持续时间(s),0 vs 1,0.019811,*,M1_新公平_Attn_topk4,all
缩肛持续时间(s),0 vs 2,0.303765,ns,M1_新公平_Attn_topk4,all
缩肛持续时间(s),1 vs 2,0.303765,ns,M1_新公平_Attn_topk4,all
排便时直肠压力(mmHg),0 vs 1,0.005608,**,M1_新公平_Attn_topk4,all
排便时直肠压力(mmHg),0 vs 2,0.002732,**,M1_新公平_Attn_topk4,all
排便时直肠压力(mmHg),1 vs 2,0.0,***,M1_新公平_Attn_topk4,all
最大容量感觉阈值(ml),0 vs 1,0.010442,*,M1_新公平_Attn_topk4,all
最大容量感觉阈值(ml),0 vs 2,0.979042,ns,M1_新公平_Attn_topk4,all
最大容量感觉阈值(ml),1 vs 2,0.010213,*,M1_新公平_Attn_topk4,all
初始感觉阈值(ml),0 vs 1,0.096538,ns,M1_新公平_Attn_topk4,all
初始感觉阈值(ml),0 vs 2,0.048112,*,M1_新公平_Attn_topk4,all
初始感觉阈值(ml),1 vs 2,0.730102,ns,M1_新公平_Attn_topk4,all
初始便意阈值(ml),0 vs 1,0.46365,ns,M1_新公平_Attn_topk4,all
初始便意阈值(ml),0 vs 2,0.594084,ns,M1_新公平_Attn_topk4,all
初始便意阈值(ml),1 vs 2,0.651861,ns,M1_新公平_Attn_topk4,all
排便窘迫感阈值(ml),0 vs 1,0.003331,**,M1_新公平_Attn_topk4,all
排便窘迫感阈值(ml),0 vs 2,0.480267,ns,M1_新公平_Attn_topk4,all
排便窘迫感阈值(ml),1 vs 2,0.012845,*,M1_新公平_Attn_topk4,all
RAIR诱发最小容积(ml),0 vs 1,0.956995,ns,M1_新公平_Attn_topk4,all
RAIR诱发最小容积(ml),0 vs 2,0.917174,ns,M1_新公平_Attn_topk4,all
RAIR诱发最小容积(ml),1 vs 2,0.917174,ns,M1_新公平_Attn_topk4,all
肛门括约肌静息压(mmHg),0 vs 1,0.0,***,M1_新公平_Attn_topk4,stable
肛门括约肌静息压(mmHg),0 vs 2,0.0,***,M1_新公平_Attn_topk4,stable
肛门括约肌静息压(mmHg),1 vs 2,0.0,***,M1_新公平_Attn_topk4,stable
最大缩榨压MSP（mmHg）,0 vs 1,0.0,***,M1_新公平_Attn_topk4,stable
最大缩榨压MSP（mmHg）,0 vs 2,0.0,***,M1_新公平_Attn_topk4,stable
最大缩榨压MSP（mmHg）,1 vs 2,0.0,***,M1_新公平_Attn_topk4,stable
肛门括约肌长度(cm),0 vs 1,0.0,***,M1_新公平_Attn_topk4,stable
肛门括约肌长度(cm),0 vs 2,0.001072,**,M1_新公平_Attn_topk4,stable
肛门括约肌长度(cm),1 vs 2,0.0,***,M1_新公平_Attn_topk4,stable
缩肛持续时间(s),0 vs 1,0.019811,*,M1_新公平_Attn_topk4,stable
缩肛持续时间(s),0 vs 2,0.303765,ns,M1_新公平_Attn_topk4,stable
缩肛持续时间(s),1 vs 2,0.303765,ns,M1_新公平_Attn_topk4,stable
排便时直肠压力(mmHg),0 vs 1,0.005608,**,M1_新公平_Attn_topk4,stable
排便时直肠压力(mmHg),0 vs 2,0.002732,**,M1_新公平_Attn_topk4,stable
排便时直肠压力(mmHg),1 vs 2,0.0,***,M1_新公平_Attn_topk4,stable
最大容量感觉阈值(ml),0 vs 1,0.010442,*,M1_新公平_Attn_topk4,stable
最大容量感觉阈值(ml),0 vs 2,0.979042,ns,M1_新公平_Attn_topk4,stable
最大容量感觉阈值(ml),1 vs 2,0.010213,*,M1_新公平_Attn_topk4,stable
初始感觉阈值(ml),0 vs 1,0.096538,ns,M1_新公平_Attn_topk4,stable
初始感觉阈值(ml),0 vs 2,0.048112,*,M1_新公平_Attn_topk4,stable
初始感觉阈值(ml),1 vs 2,0.730102,ns,M1_新公平_Attn_topk4,stable
初始便意阈值(ml),0 vs 1,0.46365,ns,M1_新公平_Attn_topk4,stable
初始便意阈值(ml),0 vs 2,0.594084,ns,M1_新公平_Attn_topk4,stable
初始便意阈值(ml),1 vs 2,0.651861,ns,M1_新公平_Attn_topk4,stable
排便窘迫感阈值(ml),0 vs 1,0.003331,**,M1_新公平_Attn_topk4,stable
排便窘迫感阈值(ml),0 vs 2,0.480267,ns,M1_新公平_Attn_topk4,stable
排便窘迫感阈值(ml),1 vs 2,0.012845,*,M1_新公平_Attn_topk4,stable
RAIR诱发最小容积(ml),0 vs 1,0.956995,ns,M1_新公平_Attn_topk4,stable
RAIR诱发最小容积(ml),0 vs 2,0.917174,ns,M1_新公平_Attn_topk4,stable
RAIR诱发最小容积(ml),1 vs 2,0.917174,ns,M1_新公平_Attn_topk4,stable
